source1_entity_id,missed_target_id,reason,country_mismatch,beyond_rank_cut,postings_budget_dropped
S1-132974661,S3-96306507,no_shared_term,False,False,False
S1-401663681,S2-512894276,beyond_rank_cut,False,True,False
S1-445231362,S3-305085540,no_shared_term,False,False,False
S1-210065168,S2-698628220,beyond_rank_cut,False,True,False
S1-210065168,S3-183001604,beyond_rank_cut,False,True,False
S1-210065168,S3-286863242,beyond_rank_cut,False,True,False
S1-801882575,S3-746537055,no_shared_term,False,False,False
S1-595805792,S2-354031571,beyond_rank_cut,False,True,False
S1-888118518,S3-506408696,no_shared_term,False,False,False
S1-544187171,S3-282728385,beyond_rank_cut,False,True,False
S1-682034684,S3-269038692,beyond_rank_cut,False,True,False
S1-85711422,S2-359217308,no_shared_term,False,False,False
S1-453834650,S2-40589848,beyond_rank_cut,False,True,False
S1-453834650,S3-659657632,beyond_rank_cut,False,True,False
S1-249570778,S3-881137275,beyond_rank_cut,False,True,False
S1-528728408,S2-6410461,no_shared_term,False,False,False
S1-754450304,S3-112472652,beyond_rank_cut,False,True,False
S1-754450304,S3-970026204,beyond_rank_cut,False,True,False
S1-779725843,S3-883462141,no_shared_term,False,False,False
S1-78419913,S2-195350825,beyond_rank_cut,False,True,False
S1-128543018,S2-258124284,beyond_rank_cut,False,True,False
S1-236721724,S3-903921914,beyond_rank_cut,False,True,False
S1-710998426,S3-407937526,beyond_rank_cut,False,True,False
S1-909642037,S2-262635997,no_shared_term,False,False,False
S1-283286023,S3-343681840,beyond_rank_cut,False,True,False
S1-812652308,S2-854519326,no_shared_term,False,False,False
S1-812652308,S3-479547097,beyond_rank_cut,False,True,False
S1-812652308,S3-833637480,no_shared_term,False,False,False
S1-293865801,S2-124643866,no_shared_term,False,False,False
S1-339518948,S2-808430241,beyond_rank_cut,False,True,False
S1-497104269,S3-440811383,no_shared_term,False,False,False
S1-832375817,S3-963408827,beyond_rank_cut,False,True,False
S1-99793277,S2-280534236,beyond_rank_cut,False,True,False
S1-99793277,S3-219310297,beyond_rank_cut,False,True,False
S1-504558676,S3-128467534,beyond_rank_cut,False,True,False
S1-661521063,S2-582075168,beyond_rank_cut,False,True,False
S1-661521063,S2-822040866,beyond_rank_cut,False,True,False
S1-592921563,S2-390215607,beyond_rank_cut,False,True,False
S1-592921563,S2-907434438,beyond_rank_cut,False,True,False
S1-592921563,S3-856880380,beyond_rank_cut,False,True,False
S1-644425686,S3-41246490,beyond_rank_cut,False,True,False
S1-773571289,S2-505080100,beyond_rank_cut,False,True,False
S1-343288541,S3-27336651,beyond_rank_cut,False,True,False
S1-343288541,S3-293655821,no_shared_term,False,False,False
S1-766116744,S2-77932040,beyond_rank_cut,False,True,False
S1-174345689,S3-549557709,beyond_rank_cut,False,True,False
