source1_entity_id,true_match_count,candidate_count,hits,missed_target_ids
S1-257808501,3,300,3,
S1-275324076,3,300,3,
S1-115027062,1,300,1,
S1-998128587,2,300,2,
S1-854214805,3,300,3,
S1-496902896,3,300,2,S3-867294255
S1-835638436,2,300,2,
S1-568068726,1,300,1,
S1-388694206,5,300,5,
S1-637504441,3,300,3,
S1-695109779,5,300,5,
S1-311172574,5,300,5,
S1-61979512,2,300,2,
S1-469071642,4,300,4,
S1-919747728,3,300,3,
S1-343562834,2,300,2,
S1-718976444,3,300,3,
S1-244502349,4,300,4,
S1-211705248,6,300,6,
S1-778205119,2,300,2,
S1-323531141,5,279,5,
S1-349952146,5,300,5,
S1-16807998,2,300,2,
S1-740534463,3,300,3,
S1-500434408,2,300,2,
S1-104702863,4,300,4,
S1-130034572,2,300,2,
S1-457880299,3,300,3,
S1-11449136,4,300,4,
S1-24736670,3,300,3,
S1-448924637,3,300,3,
S1-57281789,3,300,3,
S1-7170168,5,300,5,
S1-276912461,4,300,4,
S1-923828996,4,300,4,
S1-725232055,2,300,2,
S1-187288418,4,34,4,
S1-78329891,0,300,0,
S1-23135050,3,300,3,
S1-6108759,6,300,6,
S1-372903225,5,300,5,
S1-748981483,3,300,2,S3-411314873
S1-674079819,2,300,2,
S1-187914653,0,300,0,
S1-364930746,5,300,5,
S1-470581161,1,300,1,
S1-545284551,4,300,4,
S1-531331404,3,300,3,
S1-961614999,3,300,3,
S1-378149244,3,300,3,
S1-799384661,2,300,1,S3-614068251
S1-770209147,4,300,4,
S1-124251272,6,300,6,
S1-860101915,3,300,3,
S1-237984225,3,300,3,
S1-159684399,5,300,5,
S1-366135633,5,300,5,
S1-147570117,7,300,7,
S1-764506527,2,300,2,
S1-812380467,4,300,4,
S1-422536332,6,300,6,
S1-787058827,5,300,5,
S1-349861236,6,300,6,
S1-797847669,2,300,2,
S1-509929031,4,300,4,
S1-595467262,3,300,3,
S1-607311453,2,300,2,
S1-276332163,2,300,2,
S1-530826251,5,300,5,
S1-887169062,6,300,6,
S1-804780858,0,244,0,
S1-201522744,0,300,0,
S1-748382068,3,300,3,
S1-456715439,3,300,3,
S1-655234251,4,300,4,
S1-329370606,0,300,0,
S1-24373349,4,300,4,
S1-844320262,2,300,2,
S1-161665255,3,300,2,S3-473725940
S1-609323033,2,300,2,
S1-14715040,6,300,6,
S1-863531363,1,300,1,
S1-978922121,5,300,5,
S1-866695102,2,300,2,
S1-775762982,4,300,4,
S1-916687687,5,300,5,
S1-258786013,4,295,4,
S1-773139296,2,300,2,
S1-614119776,3,300,3,
S1-61169432,0,300,0,
S1-387175635,2,300,2,
S1-123994352,5,300,5,
